,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCF_001458695.1,GCF_001458695.1,ncbi,Nitrospira_F inopinata,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,inopinata,,
GCA_002869925.2,GCA_002869925.2,ncbi,Palsa-1315 sp002869925,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002869925,,
GCA_009773415.1,GCA_009773415.1,ncbi,JAAYUK01 sp009773415,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,JAAYUK01,sp009773415,,
GCA_002238765.1,GCA_002238765.1,ncbi,Bin75 sp002238765,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp002238765,,
GCA_013151785.1,GCA_013151785.1,ncbi,JAADHP01 sp013151785,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,JAADHP01,sp013151785,,
GCA_004296885.1,GCA_004296885.1,ncbi,SYGV01 sp004296885,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,SYGV01,sp004296885,,
GCA_011523385.1,GCA_011523385.1,ncbi,Bin75 sp011523385,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp011523385,,
GCA_014058405.1,GCA_014058405.1,ncbi,Nitrospira_F kreftii,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,kreftii,,
GCA_004321915.1,GCA_004321915.1,ncbi,MYbin3 sp004321915,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,MYbin3,sp004321915,,
GCA_003599275.1,GCA_003599275.1,ncbi,SURF-45 sp003599275,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,SURF-45,sp003599275,,
GCA_002299835.1,GCA_002299835.1,ncbi,UBA665 sp002299835,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,UBA665,sp002299835,,
GCA_902500995.1,GCA_902500995.1,ncbi,Nitrospira_A sp902500995,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp902500995,,
GCA_002753335.1,GCA_002753335.1,ncbi,MYbin3 sp002753335,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,MYbin3,sp002753335,,
GCA_009594995.1,GCA_009594995.1,ncbi,Nitrospira_A sp009594995,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp009594995,,
GCA_005793285.1,GCA_005793285.1,ncbi,Nitrospira_F sp005793285,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005793285,,
GCA_900299325.1,GCA_900299325.1,ncbi,OMJK01 sp900299325,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,OMJK01,sp900299325,,
GCA_902500755.1,GCA_902500755.1,ncbi,Nitrospira_F sp902500755,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500755,,
GCA_013152795.1,GCA_013152795.1,ncbi,JAADFS01 sp013152795,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,JAADFS01,sp013152795,,
GCA_004298335.1,GCA_004298335.1,ncbi,SCTG01 sp004298335,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,NS-4,SCTG01,sp004298335,,
GCF_900403705.1,GCF_900403705.1,ncbi,Nitrospira_D lenta,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,lenta,,
GCA_002726235.1,GCA_002726235.1,ncbi,UBA2166 sp002726235,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA2166,UBA2166,sp002726235,,
GCA_003599425.1,GCA_003599425.1,ncbi,SURF-23 sp003599425,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,SURF-23,sp003599425,,
GCA_009594865.1,GCA_009594865.1,ncbi,Nitrospira_A sp009594865,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp009594865,,
GCF_001458775.1,GCF_001458775.1,ncbi,Nitrospira_F nitrificans,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,nitrificans,,
GCA_013349595.1,GCA_013349595.1,ncbi,DUZI01 sp013349595,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,DUZI01,DUZI01,sp013349595,,
GCA_014534095.1,GCA_014534095.1,ncbi,Nitrospira_D sp014534095,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp014534095,,
GCA_003599795.1,GCA_003599795.1,ncbi,UBA1546 sp003599795,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp003599795,,
GCA_009377845.1,GCA_009377845.1,ncbi,UBA8639 sp009377845,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,sp009377845,,
GCA_003233615.1,GCA_003233615.1,ncbi,UBA8639 sp003233615,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,sp003233615,,
GCA_013388605.1,GCA_013388605.1,ncbi,JACAEY01 sp013388605,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,JACAEY01,sp013388605,,
GCA_014055525.1,GCA_014055525.1,ncbi,Nitrospira_C sp014055525,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_C,sp014055525,,
GCA_902500715.1,GCA_902500715.1,ncbi,Nitrospira_A sp902500715,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp902500715,,
GCA_004298625.1,GCA_004298625.1,ncbi,SCSY01 sp004298625,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,SCSY01,sp004298625,,
GCA_005877815.1,GCA_005877815.1,ncbi,NS-4 sp005877815,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,NS-4,NS-4,sp005877815,,
GCA_001805165.1,GCA_001805165.1,ncbi,RBG-16-43-11 sp001805165,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,RBG-16-43-11,sp001805165,,
GCF_900169565.1,GCF_900169565.1,ncbi,Nitrospira_C japonica,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_C,japonica,,
GCA_011331925.1,GCA_011331925.1,ncbi,Nitrospira_F sp011331925,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp011331925,,
GCA_002083555.1,GCA_002083555.1,ncbi,Nitrospira_D sp002083555,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp002083555,,
GCA_004297235.1,GCA_004297235.1,ncbi,Manganitrophus sp004297235,Bacteria,Nitrospirota,Nitrospiria,SBBL01,SCUR01,Manganitrophus,sp004297235,,
GCA_011391455.1,GCA_011391455.1,ncbi,Palsa-1315 sp011391455,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp011391455,,
GCA_005877505.1,GCA_005877505.1,ncbi,NS-12 sp005877505,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,NS-4,NS-12,sp005877505,,
GCA_005877525.1,GCA_005877525.1,ncbi,NS-11 sp005877525,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,NS-4,NS-11,sp005877525,,
GCA_003153275.1,GCA_003153275.1,ncbi,PALSA-1316 sp003153275,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,PALSA-1316,sp003153275,,
GCF_012184425.1,GCF_012184425.1,ncbi,Manganitrophus noduliformans,Bacteria,Nitrospirota,Nitrospiria,SBBL01,SCUR01,Manganitrophus,noduliformans,,
GCA_902500825.1,GCA_902500825.1,ncbi,Nitrospira_F sp902500825,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500825,,
GCA_013151935.1,GCA_013151935.1,ncbi,JAADHI01 sp013151935,Bacteria,Nitrospirota,Nitrospiria,SBBL01,JAADHI01,JAADHI01,sp013151935,,
GCA_902500775.1,GCA_902500775.1,ncbi,Nitrospira_F sp902500775,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500775,,
GCA_014379455.1,GCA_014379455.1,ncbi,Palsa-1315 sp014379455,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp014379455,,
GCA_003696975.1,GCA_003696975.1,ncbi,J031 sp003696975,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,J031,sp003696975,,
GCA_016706135.1,GCA_016706135.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016709365.1,GCA_016709365.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016712165.1,GCA_016712165.1,ncbi,Nitrospira sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,sp002254365,,
GCA_016711755.1,GCA_016711755.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016715825.1,GCA_016715825.1,ncbi,,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,,,
GCA_016719745.1,GCA_016719745.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016722315.1,GCA_016722315.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016722055.1,GCA_016722055.1,ncbi,Nitrospira sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,sp002254365,,
